,id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link,country,kind_code,abstract,cpc_1,cpc_2,cpc_3,cpc_1_num,cpc_2_num,cpc_3_num,file_grant_days,cpc_1_GHY
10,US11962941B2,Wireless network camera systems ,Axis Ab,"['Jon Siann', ' Dennis James Espey']",2006-11-20,2023-02-15,2024-04-16,2024-04-16,https://patents.google.com/patent/US11962941B2/en,https://patentimages.storage.googleapis.com/e4/41/56/6c2ccff89357f2/US11962941-20240416-D00000.png,US,B2,"Apparatus, systems and techniques are provided associated with a battery powered wireless camera, which includes an internal battery and an image capture module to capture images. Further, the battery powered wireless camera may include a first communication module and a second communication module configured for wireless communication. If the second communication module is powered down, the image capture module may store captured infrared images. If activation is triggered, the second communication module may power up and wirelessly transmit the captured images. In an example, the wireless camera may further include an infrared detection module configured for capturing infrared images. Further, the activation may include any one of a noise, a motion, a timing, a command, and an infrared detection. Also, the first communication module may wirelessly communicate utilizing a first communication mode and the second communication module may wirelessly communicate utilizing a second communication mode.","['G', 'H', 'Y']","['G05', 'G06', 'H02', 'Y02']","['G05B', 'G05F', 'G06N', 'H02J', 'H02M', 'G06F', 'Y02E']",3,4,7,426,1
11,US11733221B2,Apparatus and methods for reducing fugitive gas emissions at oil facilities ,"Project Canary, Pbc",['David L. Armitage'],2019-01-23,2023-01-17,2023-08-22,2023-08-22,https://patents.google.com/patent/US11733221B2/en,https://patentimages.storage.googleapis.com/35/10/88/ca9093de84cdff/US11733221-20230822-D00000.png,US,B2,Apparatus and methods for detecting and reporting pollution at an oil facility are disclosed. The technology utilizes a logic control system to read from a pollution sensor and present the sensed data as a pollutant from a leak. The pollution leakage can be further managed and reduced.,"['F', 'H', 'Y']","['F01', 'F03', 'F24', 'F28', 'H01', 'Y02']","['F01K', 'F03G', 'F24T', 'F28D', 'F28F', 'H01M', 'Y02E']",3,6,7,217,0
12,US11782471B2,"System, method, and data packets for messaging for electric power grid elements over a secure internet protocol network ","Causam Enterprises, Inc.","['Joseph W. Forbes', ' Jr.']",2012-07-31,2023-01-18,2023-10-10,2023-10-10,https://patents.google.com/patent/US11782471B2/en,https://patentimages.storage.googleapis.com/fa/ac/01/34c61e08c33f10/US11782471-20231010-D00000.png,US,B2,"Systems, methods and apparatus for electric power grid management and communications are disclosed. At least one active grid element is constructed and configured in network-based communication with a server via at least one coordinator. The at least one active grid element communicates Internet Protocol (IP)-based messages with the server via the at least one coordinator in real time or less than 15 minutes interval. The at least one active grid element participates actively in an electric power grid. The at least one active grid element has an energy consumption pattern or an energy supply pattern. The IP-based messages comprise at least one IP packet including a content, a priority, a security, and a transport route. The content comprises an amount of power available for the electric power grid or an amount of curtailment power available at an attachment point of the at least one grid element.","['B', 'H', 'Y']","['B60', 'H02', 'Y02', 'Y04']","['B60L', 'H02J', 'H02M', 'B60K', 'Y02B', 'Y02E', 'Y02T', 'Y04S']",3,4,8,265,0
13,US12009449B2,Solar cell having an emitter region with wide bandgap semiconductor material ,Maxeon Solar Pte. Ltd.,"['Richard M. Swanson', ' Marius M. Bunea', ' Michael C. Johnson', ' David D. Smith', ' Yu-Chen Shen', ' Peter J. Cousins', ' Tim Dennis']",2012-03-23,2023-02-09,2024-06-11,2024-06-11,https://patents.google.com/patent/US12009449B2/en,https://patentimages.storage.googleapis.com/96/ef/80/f09cc905b789f0/US12009449-20240611-D00000.png,US,B2,"Solar cells having emitter regions composed of wide bandgap semiconductor material are described. In an example, a method includes forming, in a process tool having a controlled atmosphere, a thin dielectric layer on a surface of a semiconductor substrate of the solar cell. The semiconductor substrate has a bandgap. Without removing the semiconductor substrate from the controlled atmosphere of the process tool, a semiconductor layer is formed on the thin dielectric layer. The semiconductor layer has a bandgap at least approximately 0.2 electron Volts (eV) above the bandgap of the semiconductor substrate.","['H', 'Y']","['H02', 'Y02']","['H02J', 'H02M', 'Y02E']",2,2,3,488,0
14,US11854033B2,Farm ecosystem ,Bao Tran,['Bao Tran'],2019-05-13,2023-03-01,2023-12-26,2023-12-26,https://patents.google.com/patent/US11854033B2/en,https://patentimages.storage.googleapis.com/dc/e2/46/ebaa89e97071fe/US11854033-20231226-D00000.png,US,B2,"An agricultural method includes providing a positive air pressure chamber to prevent outside contaminants from entering the chamber; growing crops in a plurality of cells in the chamber, each cell having multi-grow benches or levels, each cell further having connectors to vertical hoists for vertical movements in the chamber; maintaining pre-set temperature, humidity, carbon dioxide, watering and lighting levels to achieve predetermined plant growth; using motorized transport rails to deliver benches for operations including seeding, harvesting, grow media recovery, and bench wash; dispensing seeds in the cell with a mechanical seeder coupled to the transport rails; growing the crops with computer controlled nutrients, light and air level; and harvesting the crops and delivering the harvested crop at a selected outlet of the chamber.","['H', 'Y']","['H01', 'H02', 'Y02']","['H01L', 'H02J', 'H02S', 'H02M', 'Y02E']",2,3,5,300,0
15,US11967922B2,"Optimized truss foundations, adapters for optimized truss foundations, and related systems and methods ","Ojjo, Inc.","['Jack West', ' David Mar', ' Charles Almy', ' Tyrus Hudson', ' Johann Karkheck', ' Kathryn Pesce']",2018-09-05,2023-02-08,2024-04-23,2024-04-23,https://patents.google.com/patent/US11967922B2/en,https://patentimages.storage.googleapis.com/4f/ae/02/c57089269995fc/US11967922-20240423-D00000.png,US,B2,"A universal adapter for enabling truss foundations to support conventional single-axis trackers. In some cases, the adapter has a main body with an upper portion that presents a standard I-beam interface with pre-drilled holes to interface to a specific single-axis tracker. A pair of connecting portions point down and away from the main body and enable upper leg sections to connect the adapter to a pair of driven screw anchors located below it. The connecting portions may orient the truss so that the rotational axis of the single-axis tracker is aligned with the work point of the truss foundation made from the adapter, upper legs, and driven screw anchors. This will enable to the truss to interface with many different trackers much like conventional plumb-driven H-pile foundations.","['H', 'Y']","['H02', 'Y02']","['H02M', 'H02J', 'H02S', 'Y02B', 'Y02E']",2,2,5,440,0
16,US12000207B2,Light-modulating electrophoretic device ,E Ink Corporation,"[""Donal Martin O'Keeffe""]",2013-10-22,2023-05-31,2024-06-04,2024-06-04,https://patents.google.com/patent/US12000207B2/en,https://patentimages.storage.googleapis.com/08/ac/5e/18c70ebac8359c/US12000207-20240604-D00000.png,US,B2,"A variable light transmittance sheet comprises a first transparent electrode and a second transparent electrode spaced apart from the first electrode, and between the electrodes an electrophoretic cell containing an electrophoretic ink and one or more non-planar solid polymer elements. In an embodiment, the electrophoretic ink includes charged particles in a suspending fluid, and 75% or more by mass of the suspending fluid is an organosilicone or an aliphatic hydrocarbon and the solid polymer is a fluorinated elastomeric polymer.","['B', 'C', 'F', 'H', 'Y']","['F01', 'F28', 'B01', 'B63', 'C25', 'F03', 'F22', 'H01', 'H02', 'Y02']","['F01K', 'F28D', 'B01D', 'B63H', 'C25B', 'F03G', 'F22B', 'H01M', 'H02J', 'H02M', 'F03D', 'Y02E', 'Y02P', 'Y02T']",5,10,14,370,0
17,US11844569B1,Methods and devices for endovascular ablation of a splanchnic nerve ,"Axon Therapies, Inc.","['Dorin Panescu', ' Andrew Wu', ' Zoar Jacob ENGELMAN', ' Mark Gelfand', ' Mark S. Leung']",2018-01-26,2023-08-15,2023-12-19,2023-12-19,https://patents.google.com/patent/US11844569B1/en,https://patentimages.storage.googleapis.com/61/42/da/25fada9b3738ae/US11844569-20231219-D00000.png,US,B1,"Systems, devices, and methods for transvascular ablation of target tissue are disclosed herein. The devices and methods may, in some examples, be used for splanchnic nerve ablation to increase splanchnic venous blood capacitance to treat at least one of heart failure and hypertension. For example, the devices disclosed herein may be advanced endovascularly to a target vessel in the region of a thoracic splanchnic nerve (TSN), such as a greater splanchnic nerve (GSN) or a TSN nerve root. Also disclosed are method of treating heart failure, such as HFpEF, by endovascularly ablating a thoracic splanchnic nerve to increase venous capacitance and reduce pulmonary blood pressure.","['F', 'H', 'Y']","['F01', 'F02', 'F05', 'H02', 'Y02']","['F01D', 'F02C', 'F05D', 'H02J', 'Y02E']",3,5,5,126,0
18,US11865941B2,Battery management system ,"Resc, Ltd.",['Daisuke Suzuki'],2018-06-29,2023-05-18,2024-01-09,2024-01-09,https://patents.google.com/patent/US11865941B2/en,https://patentimages.storage.googleapis.com/69/de/00/53c9e4a0496f04/US11865941-20240109-D00000.png,US,B2,"Provided is a battery management system of an electric vehicle suitable for a sharing service. A battery management system 100 includes: an electric vehicle 2 capable of travelling by driving a motor with an exchangeable battery 1; a battery station 3 capable of charging the battery 1 by adjusting a charging speed; and a management server 4 connected to the electric vehicle 2 and the battery station 3 through a communication network. The management server 4 quantitatively evaluates exchangeability of the battery 1 stored in the battery station 3, on the basis of at least a position of the electric vehicle 2 and a battery remaining amount of the battery 1 mounted on the electric vehicle 2, determines the charging speed of the battery 1 of the battery station 3, on the basis of an evaluation value of the exchangeability of the battery 1, and transmits control information relevant to the determined charging speed, to the battery station 3.","['H', 'Y']","['H01', 'H02', 'Y02']","['H01L', 'H02S', 'Y02B', 'Y02E']",2,3,4,236,0
19,US11990172B2,Refresh command control for host assist of row hammer mitigation ,Intel Corporation,"['Bill Nale', ' Christopher E. Cox']",2019-03-29,2023-06-22,2024-05-21,2024-05-21,https://patents.google.com/patent/US11990172B2/en,https://patentimages.storage.googleapis.com/52/f4/a7/12e607311cbdb0/US11990172-20240521-D00000.png,US,B2,"A memory device with internal row hammer mitigation couples to a memory controller. The memory controller or host can assist with row hammer mitigation by sending additional refresh cycles or refresh commands. In response to an extra refresh command the memory device can perform refresh for row hammer mitigation instead of refresh for standard data integrity. The memory controller can keep track of the number of activate commands sent to the memory device, and in response to a threshold number of activate commands, the memory controller sends the additional refresh command. With the extra refresh command the memory device can refresh the potential victim rows of a potential aggressor row, instead of simply refreshing a row that has not been accessed for a period of time.","['G', 'H']","['H02', 'G05', 'G06']","['H02J', 'G05B', 'G06F']",2,3,3,334,0
20,US12000649B2,Thermal control system ,"Lineage Logistics, LLC","['Alexander James Woolf', ' Elliott Gerard Wolf', ' Daniel Thomas Wintz', ' Jesse Scott Tootell', ' Bryan Thomas Kaye', ' Jesse Dylan Crossno', ' Alexander Ming Zhang', ' Gabriel Len West', ' John Richardson Crawford', ' Tiara Lee Flewelling']",2018-05-30,2023-03-10,2024-06-04,2024-06-04,https://patents.google.com/patent/US12000649B2/en,https://patentimages.storage.googleapis.com/9a/1f/2e/ab6ab3e84ebc36/US12000649-20240604-D00000.png,US,B2,"The subject matter of this specification can be embodied in, among other things, a method for time shifting when a cold storage facility is cooled that includes determining a thermal model of a cold storage facility, obtaining an energy cost model that describes a schedule of variable energy costs over a predetermined period of time in the future, determining an operational schedule for at least a portion of a refrigeration system based on the thermal model, the energy cost model, and a maximum allowed temperature, and powering on the portion the refrigeration system based on the operational schedule, cooling, by the powered portion of the refrigeration system to a temperature below the maximum allowed temperature, reducing power usage of the powered portion of the refrigeration system based on the operational schedule, and permitting the facility to be warmed by ambient temperatures toward the maximum allowed temperature.","['F', 'G', 'H', 'Y']","['H01', 'F24', 'G01', 'H02', 'Y02']","['H01L', 'F24S', 'G01S', 'H02S', 'Y02E']",4,5,5,452,1
21,US11955612B2,"Neural network, power storage system, vehicle, and electronic device ","Semiconductor Energy Laboratory Co., Ltd.","['Kazutaka Kuriki', ' Ryota Tajima', ' Kouhei Toyotaka', ' Hideaki Shishido', ' Toshiyuki Isa']",2017-05-03,2023-01-06,2024-04-09,2024-04-09,https://patents.google.com/patent/US11955612B2/en,https://patentimages.storage.googleapis.com/df/80/22/64fb71891b936d/US11955612-20240409-D00000.png,US,B2,"A power storage system with excellent characteristics is provided. A power storage system with a high degree of safety is provided. A power storage system with less deterioration is provided. A storage battery with excellent characteristics is provided. The power storage system includes a neural network and a storage battery. The neural network includes an input layer, an output layer, and one or more hidden layers between the input layer and the output layer. The predetermined hidden layer is connected to the previous hidden layer or the previous input layer by a predetermined weight coefficient, and connected to the next hidden layer or the next output layer by a predetermined weight coefficient. In the storage battery, voltage and time at which the voltage is obtained are measured as one of sets of data. The sets of data measured at different times are input to the input layer and the operational condition of the storage battery is changed in accordance with a signal output from the output layer.","['H', 'Y']","['H02', 'Y02', 'Y04']","['H02J', 'Y02B', 'Y02E', 'Y04S']",2,3,4,459,0
22,US11739679B2,Scalable greenhouse gas capture systems and methods ,Marathon Petroleum Company Lp,['Zachary D. Thobe'],2021-03-16,2023-01-05,2023-08-29,2023-08-29,https://patents.google.com/patent/US11739679B2/en,https://patentimages.storage.googleapis.com/1c/9d/f4/076d9b69ecac95/US11739679-20230829-D00000.png,US,B2,"Scalable greenhouse gas capture systems and methods to allow a user to off-load exhaust captured in an on-board vehicle exhaust capture device and to allow for a delivery vehicle or other transportation mechanism to obtain and transport the exhaust. The systems and methods may involve one or more exhaust pumps, each with an exhaust nozzle corresponding to a vehicle exhaust port. Upon engagement with the vehicle exhaust port, the exhaust nozzle may create an air-tight seal between the exhaust nozzle and the vehicle exhaust port. A first pipe may be configured to transport captured exhaust therethrough from the exhaust nozzle to. The captured exhaust may be at least temporarily stored in an exhaust holding tank connected to and in fluid communication with the first pipe.","['C', 'F', 'Y']","['C02', 'F03', 'F24', 'F28', 'Y02']","['C02F', 'F03D', 'F24S', 'F28D', 'F28F', 'Y02A', 'Y02B', 'Y02E']",3,5,8,236,0
23,US11964663B2,Control of autonomous vehicle based on determined yaw parameter(s) of additional vehicle ,"Aurora Operations, Inc.","['Warren Smith', ' Ethan Eade', ' Sterling J. Anderson', ' James Andrew Bagnell', ' Bartholomeus C. Nabbe', ' Christopher Paul Urmson']",2018-04-11,2023-04-11,2024-04-23,2024-04-23,https://patents.google.com/patent/US11964663B2/en,https://patentimages.storage.googleapis.com/8f/04/7c/ff219e470a7783/US11964663-20240423-D00000.png,US,B2,"Determining an instantaneous vehicle characteristic (e.g., at least one yaw rate) of an additional vehicle that is in addition to a vehicle being autonomously controlled, and adapting autonomous control of the vehicle based on the determined instantaneous vehicle characteristic of the additional vehicle. For example, autonomous steering, acceleration, and/or deceleration of the vehicle can be adapted based on a determined instantaneous vehicle characteristic of the additional vehicle. In many implementations, the instantaneous vehicle characteristics of the additional vehicle are determined based on data from a phase coherent Light Detection and Ranging (LIDAR) component of the vehicle, such as a phase coherent LIDAR monopulse component and/or a frequency-modulated continuous wave (FMCW) LIDAR component.","['B', 'H', 'Y']","['B60', 'H02', 'Y02', 'Y04']","['B60L', 'H02J', 'Y02B', 'Y02E', 'Y02T', 'Y04S']",3,4,6,378,0
24,US11901177B2,Enhanced perovskite materials for photovoltaic devices ,Cubicpv Inc.,"['Michael D. IRWIN', ' Michael Holland', ' Nicholas Anderson']",2018-11-21,2023-01-23,2024-02-13,2024-02-13,https://patents.google.com/patent/US11901177B2/en,https://patentimages.storage.googleapis.com/5a/c8/1f/b5842ace32d113/US11901177-20240213-D00000.png,US,B2,"A perovskite material that has a perovskite crystal lattice having a formula of CxMyXz, and alkyl polyammonium cations disposed within or at a surface of the perovskite crystal lattice; wherein x, y, and z, are real numbers; C comprises one or more cations selected from the group consisting of Group 1 metals, Group 2 metals, ammonium, formamidinium, guanidinium, and ethene tetramine; M comprises one or more metals each selected from the group consisting of Be, Mg, Ca, Sr, Ba, Fe, Cd, Co, Ni, Cu, Ag, Au, Hg, Sn, Ge, Ga, Pb, In, Tl, Sb, Bi, Ti, Zn, Cd, Hg, and Zr, and combinations thereof and X comprises one or more anions each selected from the group consisting of halides, pseudohalides, chalcogenides, and combinations thereof.","['B', 'G', 'H', 'Y']","['B60', 'G01', 'G05', 'H02', 'Y02', 'Y04']","['B60L', 'G01R', 'G05B', 'H02J', 'H02M', 'Y02B', 'Y02T', 'Y04S']",4,6,8,386,1
25,US11827354B2,Unmanned aerial vehicle ,Lucio Volpi,['Lucio Volpi'],2016-04-17,2023-01-26,2023-11-28,2023-11-28,https://patents.google.com/patent/US11827354B2/en,https://patentimages.storage.googleapis.com/78/88/f5/4b19e3f8095c31/US11827354-20231128-D00000.png,US,B2,"An unmanned aerial robotic vehicle (UARV) that can fly to an object such as a palm tree, hover in place adjacent to the object, mount itself securely and releasably to a mounting location on the object using a mounting mechanism, and which uses an incorporated utility system for performing one or more utilitarian functions, such as use of a cutting tool to trim palm tree branches and foliage.","['G', 'H', 'Y']","['H02', 'G01', 'Y02']","['H02J', 'G01R', 'Y02E']",3,3,3,306,1
26,US11867680B2,Multi-sensor platform for crop health monitoring ,Ecoation Innovative Solutions Inc.,"['Saber Miresmailli', ' Murray B. ISMAN', ' Maryam ANTIKCHI']",2015-07-30,2023-03-16,2024-01-09,2024-01-09,https://patents.google.com/patent/US11867680B2/en,https://patentimages.storage.googleapis.com/b6/5e/dc/6243cec313ddda/US11867680-20240109-D00000.png,US,B2,"A mobile sensory platform includes a propulsion system configured to move the platform within a growing area, a vertically-extending support, and sensors in or on the support. Different sensors are positioned at different heights along the support. The sensors are configured to capture data associated with plants in the growing area. The platform also includes a communication interface configured to support two-way wireless communication, a power supply, and a control system configured to control movement of the platform and operation of the sensors. The sensors include microclimate sensors configured to sense microclimates around individual ones of the plants and stereo imaging sensors configured to capture images of the plants. The sensors are configured to non-invasively capture multi-dimensional data points for the individual ones of the plants. At least some of the multi-dimensional data points are associated with a 3D structure of a canopy of the individual ones of the plants.","['H', 'Y']","['H02', 'Y02', 'Y04']","['H02J', 'H02M', 'Y02P', 'Y04S']",2,3,4,299,0
